brand,original_price,current_price
Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹1,92,990","₹59,990"
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹85,000","₹67,490"
"MICROSOFT Surface Laptop 13"" Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-31940 Laptop","₹44,999","₹1,08,990"
ASUS ExpertBook P3 Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3606CCAP-MB1007WS Thi...,"₹76,990","₹1,03,990"
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0665TU / 15-fd0640TU /...,"₹1,01,613","₹65,900"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹1,18,498","₹40,500"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,"₹1,15,898","₹58,990"
DELL Inspiron with Backlit Keyboard and Fingerprint Sensor Intel Core Ultra 5 125H - (16 GB/512 GB SSD...,"₹69,990","₹79,490"
"MICROSOFT Surface Pro 12"" with Type Cover & Pen Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 1...","₹75,514","₹1,11,102"
"MICROSOFT Surface Pro 12"" with Pen Core 8 Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-2...","₹1,04,990","₹1,10,902"
HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,"₹1,04,990","₹59,491"
DELL 15 AI Powered Intel Core Ultra 5 225H - (8 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Lapto...,"₹60,990","₹69,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹82,990","₹59,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹56,990","₹59,990"
HP 15 (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thi...,"₹3,89,990","₹50,190"
HP 240R G9 (2025) (i5 14th Gen) Intel Core 5 14th Gen 120U - (16 GB/512 GB SSD/Windows 11 Pro) 240R G9...,"₹1,76,990","₹59,990"
Lenovo V 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) V 15 Thin and Light ...,"₹1,92,990","₹43,990"
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,"₹1,19,498","₹19,990"
ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (64 GB/2 TB SSD/Windows 11 Home) B9406CAA...,"₹85,991","₹3,49,990"
ASUS ExpertBook P3 Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 Home) P3406CCAP-LY1005WS Lap...,"₹1,74,237","₹88,990"
ASUS ExpertBook P3 Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3606CCAP-MB1007WS Thi...,"₹92,390","₹1,03,990"
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (16 GB/512 GB SSD/Wind...,"₹69,990","₹56,990"
"MICROSOFT Surface Pro 12"" with Type Cover Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home...","₹81,201","₹1,03,822"
HP 14 AI PC Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,"₹1,09,999","₹80,990"
HP Omen AMD Ryzen 9 16 Core 8940HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX ...,"₹1,92,990","₹1,59,990"
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,"₹66,990","₹71,990"
ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) P...,"₹1,09,900","₹51,990"
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹1,18,498","₹72,990"
"MICROSOFT Surface Laptop 13"" Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-31940 Laptop","₹1,15,898","₹1,08,990"
ASUS ExpertBook P3 Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3606CCAP-MB1007WS Thi...,"₹1,09,990","₹1,03,990"
